Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0777,2.65,3.88,2.34,39.93,14.50
0.0791,2.66,3.90,2.35,40.47,14.66
0.0802,2.67,3.92,2.36,41.07,14.81
0.0802,2.67,3.87,2.32,39.98,14.42
0.0803,2.68,3.81,2.29,38.95,14.06
0.0792,2.68,3.78,2.27,38.25,13.84
0.0776,2.69,3.77,2.27,38.18,13.87
0.0763,2.69,3.80,2.29,38.81,14.12
0.0755,2.69,3.87,2.33,40.24,14.65
0.0754,2.69,3.93,2.37,41.53,15.12
0.0752,2.69,3.99,2.41,42.88,15.63
0.0752,2.69,4.03,2.44,43.76,16.04
0.0756,2.69,4.07,2.47,44.55,16.39
0.0764,2.67,4.08,2.48,44.51,16.37
0.0768,2.66,4.06,2.46,43.90,16.12
0.0772,2.65,4.04,2.45,43.41,15.92
0.0777,2.65,4.05,2.45,43.52,15.94
0.0778,2.64,4.05,2.45,43.33,15.79
0.078,2.63,4.08,2.45,43.67,15.80
0.0789,2.62,4.11,2.47,44.34,15.93
0.0796,2.62,4.10,2.45,44.03,15.79
0.0804,2.63,4.08,2.44,43.88,15.70
0.0822,2.65,4.08,2.43,43.99,15.65
0.0838,2.66,4.07,2.43,43.93,15.61
0.0851,2.65,4.06,2.42,43.77,15.59
0.0854,2.64,4.04,2.41,43.24,15.39
0.0856,2.63,4.03,2.40,42.74,15.21
0.0856,2.63,3.96,2.36,41.23,14.64
0.0853,2.64,3.89,2.32,40.02,14.17
0.0847,2.65,3.87,2.31,39.76,14.09
0.0837,2.65,3.89,2.32,40.06,14.25
0.0834,2.66,3.93,2.35,41.09,14.65
0.083,2.66,3.98,2.38,42.19,15.08
0.0831,2.66,4.03,2.41,43.27,15.50
0.0835,2.67,4.02,2.41,43.12,15.43
0.0831,2.66,4.01,2.40,42.80,15.29
0.0828,2.65,4.04,2.42,43.27,15.46
0.0825,2.64,4.07,2.43,43.71,15.62
0.0819,2.62,4.15,2.49,45.16,16.24
0.0814,2.62,4.24,2.54,47.03,16.93
0.0807,2.62,4.25,2.55,47.32,16.99
0.0796,2.63,4.18,2.50,45.85,16.45
0.0789,2.65,4.14,2.48,45.44,16.38
0.0781,2.68,4.10,2.47,45.01,16.32
0.0763,2.69,4.06,2.45,44.43,16.19
0.0748,2.69,4.05,2.44,44.06,16.02
0.0742,2.69,4.10,2.47,45.20,16.41
0.0734,2.69,4.13,2.50,45.90,16.81
0.0726,2.70,4.10,2.49,45.35,16.72
0.0717,2.70,4.07,2.48,44.82,16.64
0.0692,2.71,4.09,2.50,45.19,16.92
0.0667,2.71,4.08,2.50,45.12,16.96
0.064,2.70,4.06,2.49,44.55,16.70
0.0627,2.70,4.09,2.50,45.13,16.87
0.0613,2.68,4.12,2.52,45.62,17.00
0.0589,2.67,4.19,2.56,46.92,17.49
0.0572,2.66,4.26,2.61,48.22,18.08
0.0559,2.65,4.37,2.68,50.55,19.08
0.0546,2.65,4.53,2.79,54.39,20.62
0.0539,2.66,4.64,2.86,57.27,21.71
0.0531,2.66,4.76,2.93,60.24,22.84
0.0513,2.65,4.81,2.96,61.40,23.22
0.049,2.63,4.83,2.96,61.53,23.12
0.0474,2.62,4.78,2.93,59.91,22.45
0.0471,2.62,4.74,2.90,58.77,22.06
0.0469,2.63,4.70,2.88,57.97,21.79
0.0473,2.65,4.70,2.89,58.52,22.14
0.0487,2.67,4.71,2.90,59.12,22.48
0.0509,2.68,4.73,2.92,59.95,22.80
0.0533,2.68,4.77,2.94,60.98,23.15
0.0543,2.66,4.72,2.90,59.24,22.42
0.0552,2.65,4.66,2.86,57.55,21.72
0.057,2.64,4.54,2.78,54.35,20.40
0.0589,2.64,4.41,2.70,51.24,19.14
0.0603,2.63,4.27,2.60,47.98,17.84
0.0607,2.62,4.25,2.59,47.27,17.54
0.0611,2.61,4.22,2.57,46.55,17.23
0.0614,2.60,4.20,2.55,46.01,16.97
0.0612,2.60,4.21,2.55,46.02,16.97
0.0607,2.60,4.29,2.61,47.89,17.67
0.0601,2.61,4.36,2.65,49.70,18.38
0.0599,2.62,4.42,2.69,51.17,18.98
0.0596,2.63,4.48,2.73,52.68,19.59
0.059,2.64,4.53,2.78,54.27,20.39
0.058,2.66,4.54,2.80,54.88,20.81
0.0569,2.68,4.52,2.79,54.60,20.77
0.0554,2.69,4.51,2.77,54.64,20.63
0.0544,2.69,4.54,2.78,55.28,20.82
0.0534,2.68,4.56,2.80,55.79,20.96
0.0511,2.67,4.61,2.82,56.75,21.27
0.0494,2.66,4.74,2.90,59.64,22.36
0.0486,2.64,4.86,2.97,62.37,23.27
0.0491,2.62,4.86,2.97,61.89,23.02
0.0495,2.61,4.86,2.96,61.60,22.85
0.0521,2.61,4.81,2.94,60.40,22.53
0.0552,2.62,4.78,2.93,59.94,22.55
0.0577,2.64,4.79,2.94,60.34,22.86
0.0594,2.65,4.77,2.94,60.35,22.93
0.06,2.67,4.66,2.88,57.98,22.08
0.0606,2.68,4.55,2.81,55.60,21.23
0.0618,2.68,4.39,2.69,51.52,19.46
0.0627,2.67,4.20,2.56,47.23,17.54
0.0636,2.66,4.09,2.48,44.54,16.41
0.0642,2.66,4.10,2.49,44.72,16.47
0.0648,2.66,4.11,2.50,44.97,16.56
0.0663,2.66,4.14,2.52,45.67,16.89
0.068,2.67,4.20,2.56,47.21,17.47
0.0699,2.68,4.28,2.59,49.12,18.06
0.0715,2.68,4.31,2.61,49.86,18.28
0.0721,2.67,4.37,2.65,50.96,18.73
0.0727,2.66,4.43,2.69,52.11,19.19
0.0733,2.65,4.55,2.77,54.98,20.33
0.0738,2.65,4.63,2.82,56.88,21.05
0.0744,2.66,4.58,2.79,55.70,20.60
0.0746,2.65,4.46,2.71,52.68,19.45
0.0749,2.64,4.34,2.64,49.88,18.39
0.0753,2.65,4.21,2.55,46.97,17.17
0.076,2.66,4.13,2.49,45.39,16.41
0.0769,2.67,4.15,2.49,45.86,16.49
0.0784,2.67,4.19,2.51,46.87,16.87
0.0793,2.68,4.18,2.51,46.83,16.84
0.0802,2.67,4.18,2.51,46.70,16.78
0.0824,2.66,4.18,2.50,46.47,16.66
0.0844,2.66,4.18,2.49,46.41,16.55
0.0858,2.66,4.14,2.47,45.68,16.21
0.086,2.67,4.13,2.46,45.49,16.10
0.0862,2.68,4.12,2.45,45.33,16.01
0.0865,2.68,4.11,2.44,45.33,15.95
0.0872,2.68,4.10,2.43,44.96,15.77
0.0882,2.66,4.11,2.43,44.96,15.72
0.0889,2.65,4.13,2.44,45.24,15.75
0.0892,2.64,4.12,2.43,44.81,15.58
0.0894,2.64,4.11,2.42,44.51,15.47
0.0901,2.64,4.12,2.43,44.80,15.55
0.0911,2.65,4.15,2.44,45.63,15.72
0.0923,2.66,4.14,2.42,45.53,15.53
0.0929,2.67,4.10,2.39,44.88,15.26
0.0927,2.68,4.07,2.38,44.33,15.12
0.0925,2.68,4.03,2.36,43.68,14.95
0.0912,2.68,4.02,2.36,43.38,14.98
0.0893,2.67,4.06,2.39,43.95,15.28
0.0874,2.66,4.10,2.42,44.63,15.55
0.0864,2.65,4.10,2.43,44.62,15.58
0.0853,2.65,4.11,2.43,44.78,15.66
0.0829,2.66,4.10,2.44,44.68,15.81
0.0806,2.68,4.10,2.45,44.90,16.12
0.0793,2.69,4.15,2.50,46.34,16.82
0.0785,2.71,4.25,2.57,48.82,17.88
0.0781,2.70,4.36,2.63,51.29,18.74
0.0777,2.70,4.47,2.70,53.85,19.65
0.0763,2.68,4.52,2.73,54.66,20.04
0.0742,2.66,4.56,2.76,55.27,20.34
0.0726,2.65,4.57,2.77,55.26,20.36
0.0721,2.64,4.59,2.78,55.49,20.40
0.0716,2.63,4.60,2.79,55.82,20.47
0.0712,2.63,4.60,2.78,55.79,20.32
0.0713,2.64,4.61,2.78,55.95,20.39
0.0715,2.64,4.61,2.79,56.18,20.58
0.0718,2.64,4.58,2.78,55.39,20.36
0.072,2.63,4.57,2.77,55.00,20.20
0.0723,2.63,4.56,2.76,54.60,20.05
0.0726,2.63,4.59,2.78,55.37,20.33
0.0721,2.64,4.62,2.80,56.35,20.69
0.0709,2.65,4.64,2.82,57.13,21.03
0.0702,2.66,4.63,2.81,57.02,21.01
0.0695,2.65,4.63,2.81,56.72,20.91
0.0687,2.64,4.61,2.80,56.24,20.72
0.0685,2.64,4.62,2.80,56.15,20.66
0.0684,2.64,4.64,2.81,56.69,20.89
0.068,2.64,4.68,2.85,58.00,21.46
0.0677,2.65,4.70,2.86,58.46,21.67
0.0674,2.65,4.71,2.87,58.86,21.86
0.067,2.66,4.67,2.85,57.96,21.55
0.0668,2.65,4.64,2.83,57.12,21.17
0.0665,2.64,4.60,2.79,55.88,20.63
0.066,2.63,4.57,2.78,55.03,20.32
0.066,2.63,4.62,2.81,56.20,20.78
0.066,2.64,4.67,2.84,57.56,21.32
0.0665,2.65,4.69,2.86,58.24,21.63
0.0673,2.65,4.64,2.83,57.02,21.13
0.0678,2.64,4.60,2.80,55.89,20.66
0.0678,2.63,4.55,2.77,54.48,20.13
0.0678,2.62,4.51,2.74,53.22,19.66
0.0671,2.62,4.49,2.73,52.89,19.58
0.066,2.62,4.55,2.76,54.12,19.98
0.0653,2.62,4.58,2.78,55.00,20.25
0.065,2.63,4.57,2.78,55.02,20.31
0.0647,2.63,4.58,2.78,55.18,20.38
0.0644,2.62,4.58,2.79,55.13,20.38
0.0634,2.62,4.61,2.80,55.49,20.57
0.062,2.62,4.64,2.83,56.30,20.97
0.0607,2.63,4.69,2.87,57.80,21.60
0.06,2.64,4.66,2.85,57.23,21.41
0.0593,2.64,4.63,2.83,56.51,21.17
0.058,2.63,4.55,2.78,54.61,20.42
0.0569,2.63,4.46,2.73,52.37,19.60
0.056,2.63,4.45,2.73,52.11,19.58
0.0553,2.64,4.53,2.78,54.18,20.43
0.0552,2.65,4.58,2.82,55.72,21.04
0.0552,2.66,4.64,2.85,57.19,21.62
0.0557,2.66,4.71,2.89,58.90,22.18
0.0563,2.65,4.74,2.90,59.49,22.30
0.0565,2.65,4.75,2.91,59.86,22.41
0.0567,2.65,4.82,2.95,61.61,23.07
0.0569,2.65,4.89,2.99,63.42,23.76
0.0571,2.65,4.94,3.02,64.60,24.20
0.0571,2.64,4.91,3.00,63.83,23.85
0.0578,2.63,4.86,2.96,62.19,23.15
0.059,2.63,4.80,2.92,60.49,22.48
0.0597,2.63,4.69,2.86,57.98,21.59
0.0604,2.64,4.59,2.81,55.78,20.80
0.0615,2.65,4.61,2.82,56.36,21.01
0.0623,2.65,4.63,2.83,56.74,21.24
0.0621,2.64,4.65,2.85,57.00,21.44
0.0618,2.63,4.70,2.88,58.17,21.83
0.0614,2.62,4.76,2.91,59.39,22.25
0.0605,2.61,4.69,2.85,57.33,21.24
0.0599,2.60,4.63,2.81,55.67,20.51
0.0602,2.58,4.64,2.82,55.60,20.52
0.0617,2.59,4.67,2.84,56.41,20.90
0.0629,2.60,4.72,2.88,57.97,21.56
0.0641,2.62,4.77,2.92,59.73,22.30
0.0664,2.64,4.86,2.98,62.36,23.38
0.0675,2.65,4.89,2.99,63.42,23.70
0.0673,2.65,4.82,2.94,61.43,22.87
0.0668,2.63,4.75,2.89,59.36,21.94
0.0669,2.60,4.68,2.84,57.04,20.97
0.067,2.58,4.61,2.79,54.91,20.08
0.0678,2.57,4.61,2.78,54.77,19.94
0.0696,2.58,4.71,2.85,57.36,20.95
0.0716,2.60,4.83,2.93,60.67,22.29
0.0721,2.61,4.96,3.00,64.04,23.55
0.0727,2.61,5.08,3.08,67.52,24.86
0.0729,2.62,5.10,3.09,68.16,25.02
0.0722,2.62,5.04,3.05,66.60,24.35
0.0703,2.62,4.94,2.99,63.90,23.36
0.0682,2.60,4.85,2.94,61.26,22.43
0.0673,2.59,4.79,2.90,59.41,21.78
0.0665,2.60,4.73,2.86,58.03,21.30
0.0657,2.62,4.77,2.90,59.50,21.99
0.0656,2.63,4.86,2.96,62.16,23.03
0.0658,2.63,4.91,2.99,63.52,23.57
0.0658,2.63,4.91,2.99,63.30,23.52
0.0659,2.63,4.90,2.99,63.11,23.49
0.0659,2.63,4.87,2.97,62.32,23.20
0.0656,2.63,4.84,2.95,61.52,22.86
0.0649,2.63,4.83,2.94,61.58,22.81
0.0647,2.64,4.85,2.95,62.11,22.96
0.065,2.63,4.80,2.92,60.60,22.39
0.0653,2.62,4.74,2.88,58.93,21.78
0.0665,2.61,4.67,2.83,56.91,20.92
0.0682,2.61,4.65,2.81,56.39,20.67
0.0705,2.63,4.66,2.82,57.07,20.95
0.0715,2.64,4.73,2.87,59.18,21.76
0.0726,2.65,4.81,2.92,61.30,22.57
0.0741,2.66,4.83,2.93,61.83,22.74
0.075,2.65,4.77,2.89,60.44,22.20
0.0748,2.64,4.70,2.84,58.43,21.35
0.0738,2.62,4.63,2.79,56.33,20.47
0.0732,2.60,4.60,2.77,55.18,20.02
0.0725,2.59,4.58,2.75,54.25,19.65
0.0718,2.59,4.54,2.74,53.58,19.47
0.0721,2.61,4.51,2.72,53.02,19.34
0.073,2.63,4.52,2.73,53.69,19.67
0.0737,2.65,4.56,2.76,54.94,20.23
0.0736,2.66,4.63,2.81,56.97,21.01
0.0735,2.65,4.71,2.86,58.91,21.75
0.0725,2.64,4.77,2.90,60.18,22.25
0.0709,2.63,4.76,2.89,59.40,21.94
0.0694,2.61,4.72,2.86,58.13,21.39
0.069,2.59,4.70,2.85,57.21,21.01
0.0686,2.59,4.67,2.83,56.47,20.70
0.0684,2.59,4.65,2.82,56.07,20.57
0.0688,2.60,4.67,2.83,56.67,20.86
0.0691,2.62,4.64,2.82,56.45,20.81
0.0694,2.63,4.51,2.74,53.45,19.73
0.0695,2.64,4.44,2.70,51.98,19.20
0.0695,2.64,4.37,2.66,50.41,18.64
0.0693,2.63,4.34,2.63,49.52,18.27
0.0687,2.63,4.34,2.63,49.45,18.18
0.0684,2.62,4.43,2.69,51.47,18.95
0.0683,2.62,4.50,2.73,52.99,19.54
0.0682,2.63,4.56,2.77,54.69,20.21
0.0678,2.63,4.64,2.82,56.62,20.97
0.0671,2.64,4.68,2.85,57.60,21.33
0.0659,2.63,4.68,2.85,57.68,21.36
0.0651,2.62,4.69,2.85,57.60,21.32
0.0649,2.60,4.66,2.83,56.60,20.92
0.0647,2.59,4.63,2.81,55.69,20.55
0.0653,2.59,4.60,2.80,54.83,20.27
0.0667,2.60,4.62,2.82,55.59,20.64
0.068,2.62,4.65,2.84,56.67,21.12
0.0684,2.65,4.61,2.82,56.41,21.04
0.0689,2.67,4.57,2.79,55.93,20.88
0.0696,2.67,4.47,2.72,53.36,19.84
0.0702,2.66,4.30,2.62,49.20,18.19
0.071,2.64,4.17,2.52,45.97,16.82
0.0725,2.64,4.09,2.47,44.19,16.08
0.0736,2.64,4.11,2.48,44.48,16.18
0.0747,2.65,4.12,2.48,44.88,16.31
0.0771,2.66,4.20,2.53,46.90,17.03
0.0796,2.67,4.25,2.56,48.20,17.46
0.0813,2.67,4.29,2.57,49.11,17.71
0.0818,2.66,4.29,2.57,49.03,17.64
0.0823,2.64,4.30,2.57,48.72,17.49
0.0826,2.62,4.27,2.55,47.85,17.08
0.0824,2.61,4.26,2.54,47.41,16.88
0.0823,2.62,4.22,2.52,46.73,16.68
0.0825,2.64,4.16,2.49,45.65,16.34
0.0826,2.65,4.13,2.47,45.28,16.22
0.0828,2.65,4.10,2.46,44.67,16.01
0.0833,2.64,4.10,2.45,44.46,15.90
0.0831,2.63,4.15,2.48,45.22,16.18
0.0816,2.62,4.25,2.55,47.42,17.03
0.0792,2.62,4.34,2.61,49.38,17.82
0.0778,2.62,4.39,2.64,50.56,18.29
0.0765,2.62,4.44,2.68,51.74,18.76
0.0739,2.61,4.44,2.68,51.58,18.77
0.0716,2.60,4.42,2.67,50.85,18.56
0.0692,2.60,4.45,2.69,51.46,18.87
0.0678,2.61,4.54,2.75,53.76,19.79
0.0665,2.63,4.63,2.82,56.40,20.85
0.0637,2.65,4.73,2.88,59.27,22.00
0.0613,2.66,4.75,2.90,60.10,22.38
0.0595,2.66,4.72,2.88,59.26,22.12
0.0579,2.66,4.70,2.87,58.65,21.87
0.0571,2.66,4.66,2.84,57.76,21.48
0.0562,2.67,4.63,2.82,57.04,21.16
0.0548,2.68,4.58,2.79,56.28,20.84
0.0547,2.69,4.55,2.76,55.72,20.57
0.056,2.70,4.51,2.75,54.98,20.44
0.057,2.70,4.49,2.74,54.42,20.25
0.0579,2.69,4.47,2.72,53.71,20.00
0.0597,2.68,4.56,2.78,55.73,20.68
0.0613,2.67,4.63,2.82,57.32,21.30
0.0635,2.66,4.59,2.80,56.17,20.85
0.0667,2.65,4.54,2.76,54.49,20.13
0.0686,2.63,4.42,2.68,51.42,18.92
0.0705,2.61,4.31,2.61,48.64,17.81
0.0737,2.61,4.21,2.54,46.24,16.86
0.0756,2.62,4.16,2.51,45.37,16.56
0.0762,2.64,4.12,2.49,44.74,16.35
0.0762,2.64,4.13,2.49,45.02,16.43
0.0763,2.64,4.13,2.49,45.01,16.39
0.0758,2.62,4.14,2.49,44.91,16.21
0.0744,2.60,4.15,2.49,44.80,16.12
0.0722,2.60,4.18,2.51,45.34,16.41
0.07,2.60,4.22,2.55,46.27,16.92
0.0691,2.61,4.27,2.59,47.57,17.47
0.0683,2.63,4.32,2.63,49.10,18.12
0.0666,2.65,4.40,2.68,51.35,19.02
0.0644,2.68,4.52,2.75,54.74,20.18
0.0613,2.70,4.64,2.80,57.92,21.11
0.0585,2.70,4.67,2.82,58.93,21.40
0.0575,2.69,4.66,2.82,58.51,21.44
0.0565,2.67,4.65,2.83,57.89,21.40
0.0558,2.65,4.62,2.81,56.55,21.02
0.0562,2.65,4.62,2.82,56.56,21.11
0.0571,2.66,4.67,2.85,58.01,21.67
0.0578,2.68,4.65,2.84,57.99,21.66
0.0584,2.69,4.64,2.83,57.75,21.57
0.0601,2.68,4.55,2.77,55.31,20.57
0.0621,2.65,4.41,2.69,51.61,19.15
0.0642,2.63,4.33,2.63,49.23,18.19
0.0664,2.62,4.34,2.63,49.23,18.14
0.0674,2.62,4.41,2.68,50.94,18.77
0.0685,2.63,4.48,2.72,52.85,19.48
0.0706,2.64,4.52,2.74,53.80,19.82
0.0725,2.64,4.55,2.76,54.63,20.06
0.0736,2.64,4.53,2.74,54.33,19.86
0.0739,2.65,4.45,2.69,52.49,19.16
0.0742,2.65,4.37,2.64,50.62,18.46
0.0744,2.64,4.36,2.63,50.03,18.19
0.0742,2.63,4.34,2.62,49.44,18.00
0.0738,2.63,4.36,2.63,50.16,18.24
0.0735,2.65,4.44,2.68,52.26,18.98
0.0734,2.66,4.48,2.70,53.51,19.42
0.0733,2.67,4.52,2.72,54.61,19.80
0.0733,2.66,4.50,2.71,53.85,19.50
0.0737,2.65,4.37,2.64,50.80,18.45
0.0745,2.65,4.28,2.59,48.46,17.72
0.0749,2.65,4.28,2.59,48.51,17.77
0.0753,2.66,4.28,2.59,48.69,17.86
0.0759,2.67,4.31,2.61,49.57,18.13
0.0763,2.66,4.39,2.65,51.28,18.67
0.0769,2.65,4.40,2.65,51.25,18.60
0.0777,2.63,4.34,2.61,49.68,17.91
0.0781,2.62,4.31,2.59,48.73,17.52
0.0786,2.62,4.28,2.56,47.99,17.20
0.0796,2.62,4.30,2.57,48.59,17.38
0.0806,2.63,4.34,2.60,49.68,17.81
0.0817,2.64,4.32,2.59,49.18,17.66
0.0823,2.64,4.26,2.55,47.79,17.14
0.0828,2.63,4.20,2.51,46.36,16.61
0.0836,2.62,4.11,2.45,44.24,15.78
0.0835,2.63,4.03,2.41,42.69,15.19
0.0827,2.63,4.07,2.43,43.67,15.59
0.0818,2.64,4.17,2.50,45.95,16.49
0.0814,2.64,4.20,2.52,46.73,16.79
0.0809,2.64,4.24,2.54,47.46,17.08
0.08,2.65,4.22,2.53,47.20,16.97
0.079,2.65,4.14,2.49,45.50,16.39
0.0779,2.65,4.04,2.43,43.21,15.65
0.0767,2.65,4.02,2.42,42.82,15.57
0.076,2.64,4.10,2.48,44.51,16.20
0.0754,2.65,4.19,2.53,46.41,16.91
0.0744,2.65,4.29,2.60,48.81,17.87
0.0733,2.66,4.31,2.62,49.47,18.20
0.072,2.66,4.29,2.60,48.83,18.02
0.0713,2.65,4.29,2.61,48.77,17.99
0.0706,2.65,4.29,2.61,48.75,17.98
0.0695,2.64,4.29,2.61,48.65,17.93
0.069,2.63,4.41,2.68,51.21,18.93
0.0688,2.62,4.52,2.75,53.64,19.86
0.0689,2.61,4.49,2.73,52.63,19.47
0.0691,2.62,4.41,2.68,50.82,18.80
0.0693,2.63,4.33,2.63,49.30,18.24
0.0697,2.65,4.23,2.57,47.35,17.43
0.0698,2.64,4.15,2.52,45.51,16.73
0.0701,2.63,4.14,2.51,45.23,16.63
0.0702,2.62,4.21,2.55,46.47,17.06
0.0703,2.62,4.28,2.59,47.91,17.56
0.0707,2.63,4.28,2.59,48.20,17.68
0.071,2.64,4.27,2.59,48.02,17.64
0.0716,2.64,4.27,2.59,48.09,17.68
0.0724,2.64,4.26,2.58,47.89,17.60
0.0727,2.62,4.29,2.60,48.26,17.71
0.0729,2.61,4.32,2.61,48.69,17.84
0.0731,2.61,4.25,2.58,47.19,17.32
0.0731,2.61,4.14,2.51,44.89,16.50
0.073,2.62,4.10,2.48,44.00,16.16
0.0727,2.62,4.09,2.48,43.85,16.11
0.0725,2.63,4.08,2.47,43.72,16.06
0.0716,2.63,4.21,2.55,46.67,17.11
0.07,2.64,4.35,2.64,49.91,18.32
0.0681,2.64,4.36,2.64,50.17,18.46
0.0666,2.64,4.33,2.63,49.67,18.28
0.0662,2.65,4.32,2.62,49.40,18.18
0.0658,2.65,4.30,2.61,49.18,18.10
0.0653,2.66,4.32,2.62,49.52,18.31
0.0648,2.66,4.40,2.68,51.49,19.14
0.0639,2.67,4.48,2.74,53.52,19.98
0.0635,2.67,4.50,2.75,54.02,20.14
0.0631,2.67,4.51,2.75,54.32,20.23
0.0621,2.65,4.44,2.71,52.18,19.42
0.0607,2.63,4.41,2.69,51.14,18.98
0.0589,2.62,4.42,2.69,51.35,19.01
0.0572,2.63,4.40,2.68,50.90,18.83
0.0566,2.64,4.46,2.72,52.52,19.45
0.0559,2.64,4.53,2.76,54.05,20.02
0.0549,2.63,4.54,2.76,54.20,20.10
0.0545,2.63,4.44,2.71,51.82,19.27
0.0545,2.64,4.38,2.67,50.55,18.88
0.0543,2.65,4.36,2.67,50.50,18.91
0.054,2.66,4.42,2.70,52.02,19.39
0.0537,2.67,4.48,2.73,53.48,19.85
0.0529,2.67,4.65,2.83,57.74,21.44
0.0521,2.67,4.82,2.95,61.98,23.20
0.0515,2.66,4.86,2.97,62.85,23.48
0.0514,2.64,4.78,2.92,60.42,22.56
0.0514,2.63,4.71,2.88,58.16,21.72
0.0523,2.62,4.65,2.84,56.83,21.18
0.054,2.63,4.64,2.83,56.71,21.10
0.0566,2.65,4.66,2.84,57.60,21.39
0.0598,2.66,4.63,2.82,56.96,21.18
0.0616,2.65,4.53,2.77,54.47,20.29
0.0633,2.64,4.44,2.71,51.97,19.40
0.0667,2.63,4.38,2.67,50.42,18.72
0.0695,2.63,4.31,2.62,48.88,17.99
0.0717,2.63,4.32,2.61,49.01,17.90
0.0726,2.63,4.31,2.60,48.92,17.84
0.0734,2.63,4.31,2.60,48.80,17.77
0.0749,2.63,4.24,2.56,47.29,17.16
0.0763,2.62,4.21,2.53,46.41,16.77
0.0775,2.62,4.16,2.49,45.25,16.29
0.0781,2.62,4.13,2.48,44.72,16.07
0.0782,2.62,4.19,2.51,45.88,16.49
0.0783,2.62,4.24,2.54,47.11,16.95
0.0785,2.63,4.31,2.59,48.78,17.63
0.0785,2.63,4.39,2.65,50.66,18.41
0.078,2.63,4.45,2.68,51.94,18.92
0.0775,2.63,4.46,2.69,52.11,19.00
0.0771,2.63,4.46,2.70,52.33,19.10
0.0763,2.63,4.46,2.70,52.45,19.21
0.0756,2.64,4.44,2.69,52.09,19.08
0.0754,2.65,4.41,2.66,51.43,18.77
0.0757,2.66,4.36,2.63,50.47,18.36
0.0761,2.67,4.27,2.58,48.64,17.73
0.0765,2.69,4.18,2.53,46.89,17.14
0.0773,2.69,4.10,2.48,45.23,16.53
0.078,2.68,4.04,2.43,43.58,15.86
0.0783,2.65,3.99,2.40,42.26,15.31
0.0783,2.63,3.99,2.40,41.91,15.16
0.078,2.62,4.03,2.42,42.39,15.32
0.0777,2.62,4.06,2.44,43.11,15.57
0.0769,2.62,4.09,2.46,43.79,15.85
0.0764,2.63,4.13,2.49,44.82,16.25
0.0758,2.63,4.19,2.52,46.13,16.76
0.0754,2.64,4.25,2.57,47.76,17.41
0.075,2.66,4.32,2.61,49.56,18.11
0.0742,2.67,4.38,2.65,51.15,18.78
0.0737,2.67,4.38,2.65,51.21,18.84
0.0734,2.67,4.32,2.62,49.94,18.39
0.0733,2.67,4.27,2.59,48.55,17.89
0.0732,2.66,4.24,2.57,47.87,17.60
0.0732,2.67,4.21,2.55,47.29,17.34
0.0731,2.67,4.21,2.55,47.28,17.34
0.0732,2.67,4.20,2.54,47.12,17.25
0.0733,2.67,4.19,2.54,46.88,17.15
0.0734,2.66,4.17,2.52,46.28,16.90
0.0736,2.65,4.15,2.51,45.68,16.64
0.0739,2.64,4.14,2.50,45.30,16.49
0.0742,2.64,4.15,2.50,45.54,16.57
0.075,2.65,4.16,2.51,45.86,16.70
0.0759,2.66,4.18,2.52,46.40,16.88
0.0762,2.67,4.23,2.55,47.66,17.34
0.0765,2.67,4.28,2.58,48.90,17.78
0.0767,2.66,4.27,2.57,48.50,17.66
0.0764,2.66,4.24,2.56,47.75,17.47
0.0761,2.65,4.21,2.55,47.06,17.23
0.0759,2.65,4.20,2.54,46.57,17.02
0.0757,2.63,4.18,2.53,46.08,16.81
0.0756,2.63,4.20,2.54,46.50,16.92
0.076,2.63,4.19,2.53,46.35,16.87
0.0765,2.64,4.16,2.51,45.76,16.64
0.0767,2.65,4.14,2.50,45.48,16.52
0.0768,2.66,4.13,2.49,45.37,16.48
0.0768,2.65,4.12,2.48,45.11,16.38
0.0769,2.64,4.11,2.48,44.57,16.20
0.076,2.63,4.09,2.47,44.11,16.03
0.0743,2.63,4.07,2.45,43.47,15.81
0.0731,2.63,4.04,2.44,42.96,15.67
0.072,2.64,4.02,2.43,42.52,15.54
0.0694,2.64,4.07,2.46,43.62,16.03
0.0663,2.64,4.13,2.51,45.01,16.60
0.0626,2.63,4.18,2.54,45.98,17.02
0.0583,2.64,4.24,2.59,47.33,17.65
0.056,2.64,4.32,2.64,49.40,18.45
0.0537,2.65,4.41,2.70,51.60,19.30
0.049,2.65,4.48,2.75,53.35,20.04
0.0446,2.66,4.60,2.81,56.08,21.03
0.041,2.66,4.70,2.87,58.91,21.98
0.0382,2.67,4.75,2.89,60.24,22.27
0.0372,2.68,4.80,2.91,61.75,22.73
0.0362,2.67,4.86,2.94,63.11,23.12
0.0353,2.67,4.99,3.03,66.50,24.46
0.0354,2.66,5.11,3.11,69.56,25.79
0.0359,2.66,5.17,3.16,71.09,26.54
0.0363,2.66,5.13,3.14,69.86,26.14
0.0367,2.66,5.08,3.11,68.70,25.78
0.0381,2.66,4.81,2.94,61.55,22.99
0.0405,2.66,4.53,2.76,54.63,20.31
0.0439,2.66,4.40,2.68,51.38,19.08
0.0477,2.65,4.36,2.66,50.31,18.72
0.0496,2.65,4.40,2.69,51.39,19.13
0.0516,2.66,4.45,2.72,52.67,19.61
0.0554,2.66,4.59,2.80,56.06,20.87
0.059,2.67,4.60,2.80,56.33,20.94
0.0624,2.66,4.50,2.74,53.86,20.02
