Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.0332,2.69,4.79,2.95,61.55,23.29
0.0335,2.68,4.76,2.92,60.57,22.82
0.0337,2.67,4.76,2.92,60.46,22.76
0.0339,2.67,4.76,2.92,60.49,22.75
0.0344,2.68,4.78,2.94,61.20,23.08
0.0351,2.69,4.84,2.98,62.87,23.83
0.036,2.69,4.87,3.01,63.88,24.32
0.0366,2.69,4.86,3.00,63.61,24.19
0.0372,2.68,4.85,2.99,63.11,23.97
0.0388,2.67,4.83,2.97,62.15,23.57
0.0402,2.67,4.79,2.95,61.14,23.19
0.041,2.68,4.75,2.93,60.49,22.99
0.0415,2.69,4.73,2.92,60.29,22.96
0.0417,2.70,4.70,2.90,59.54,22.63
0.042,2.69,4.66,2.87,58.56,22.22
0.0425,2.69,4.61,2.83,57.11,21.51
0.0428,2.68,4.60,2.81,56.76,21.17
0.0429,2.69,4.58,2.80,56.56,21.08
0.0433,2.70,4.52,2.78,55.18,20.82
0.0437,2.71,4.51,2.78,55.07,20.86
0.0441,2.71,4.50,2.78,54.86,20.86
0.0452,2.70,4.53,2.79,55.37,21.09
0.0461,2.70,4.51,2.79,54.92,20.95
0.0461,2.70,4.56,2.82,56.15,21.43
0.0454,2.70,4.62,2.86,57.79,22.10
0.0448,2.72,4.68,2.90,59.58,22.83
0.0427,2.72,4.61,2.85,57.75,22.06
0.0405,2.72,4.56,2.81,56.56,21.50
0.0382,2.71,4.55,2.80,55.95,21.16
0.0357,2.70,4.49,2.76,54.45,20.56
0.0344,2.69,4.52,2.78,55.02,20.75
0.0331,2.69,4.55,2.79,55.68,20.98
0.0308,2.69,4.69,2.89,59.15,22.39
0.0286,2.67,4.83,2.97,62.22,23.58
0.0262,2.64,4.99,3.07,65.75,24.85
0.0248,2.60,5.20,3.17,70.25,26.19
0.0235,2.58,5.41,3.28,75.62,27.81
0.0202,2.57,5.54,3.35,78.70,28.77
